run_time_stamp,company,category,que_no,score,justification
3/6/25 19:40,TATAMOTORS,4,51,2,"The Tata Motors board collectively possesses more than 10 years' experience in at least three areas: General Management (combining the experience of Mr. N Chandrasekaran, Mr. Om Prakash Bhatt, Ms. Hanne Sorensen, Mr. Kosaraju V Chowdary, and Mr. Al-Noor Ramji, and Mrs. Usha Sangwan) and Financial (Mr. Om Prakash Bhatt and Ms. Vedika Bhandarkar). Additionally, at least one member has prior experience in the major industry in which company operates, specifically the automobile industry, according to Tata Motors Limited 79th Integrated Annual Report (2023-24), page 18."
3/6/25 19:40,TATAMOTORS,4,52,2,"The gender ratio of independent directors on the Tata Motors Limited Board as of March 31, 2024, is 42.9%. This information was extracted from page 14 of the 79th Integrated Annual Report 2023-24. Since the gender ratio (42.9%) is more than 0.3, we score this as 2."
3/6/25 19:41,TATAMOTORS,4,53,0,"The Tata Motors 79th Integrated Annual Report mentions that only 11.1% of the total workforce is female, which is less than 0.3 (the threshold for a score of 2). As per page 96 of the report, this information is available. Therefore, I assign a score of 0 to this report."
3/6/25 19:41,TATAMOTORS,4,54,1,"Tata Motors Limited has a non-executive chairman, N. Chandrasekaran, and as of March 31, 2024, 75% of the board members are Independent Directors. Although there is no explicit affirmation of independence by vintage members, it is mentioned that all independent directors confirm their independence annually in accordance with Section 149(7) of the Companies Act and the SEBI Listing Regulations (page 141). This meets the criteria for a score of 1."
3/6/25 19:41,TATAMOTORS,4,55,2,"The Audit Committee has more than or equal to 3 members (7 independent directors), and all members are non-executive only, which satisfies Criteria 1. The Nomination and Remuneration Committee (NRC) consists of Non-Executive members, satisfying Criteria 2. Additionally, none of the listed members have served on the board for more than 10 years as of March 31, 2024, satisfying Criteria 3. Therefore, no criteria are violated, resulting in a score of 2."
3/6/25 19:41,TATAMOTORS,4,63,1,"Total compensation of CEO (₹696.60 crore) is less than 0.05 of net profits (₹7,902.08 crore). According to the calculation, R2 = ₹696.60 crore / ₹7,902.08 crore = 0.088 or 8.8% (Page 138 and 132), which indicates that CEO compensation is reasonable. The report does not provide a direct comparison of the CEO's compensation to net profits, but the ratio calculation demonstrates that the CEO's compensation is proportionate to the company's performance."
2025-03-06 22:20:15,TATAMOTORS,1,7,1,"The gap between FYE (March 31, 2024) and AGM (June 24, 2024) is calculated to be 85 days, which falls within the range of 120-180 days. This indicates a reasonable time frame for shareholders to receive the financial reports and have an opportunity to review them before attending the AGM."
2025-03-06 22:29:14,TATAMOTORS,1,7,2,"The gap between FYE (March 31, 2024) and AGM (June 24, 2024) is calculated to be 2 months and 24 days. This is less than 4 months, which meets the scoring criteria for a score of 2. The calculation is accurate, and there is no ambiguity in the information provided. The source of this information is the Tata Motors Limited 79th Integrated Annual Report 2023-24, specifically page 1 (for AGM) and page 5 (for FYE)."
2025-03-07 19:47:03,TATAMOTORS,4,53,0,"Although Tata Motors' 79th Integrated Annual Report mentions the number of women in its workforce compared to the total workforce, the female-to-total-workforce ratio is less than 10% (11.1%). According to page 96 of the report, only 11.1% of the total workforce consists of females. Since this percentage falls below the threshold of 10%, I scored it as a 0."
2025-03-07 19:53:01,TATAMOTORS,4,53,1,"According to the 79th Integrated Annual Report of Tata Motors Limited as of 31st March 2024, page 96 states that 11.1% of the total workforce is female. This indicates that the ratio of female employees to total employees is between 10% and 30%, which falls within the scoring criteria for a score of 1."
2025-03-07 21:24:21,TATAMOTORS,1,4,2,"According to the Tata Motors Corporate Governance report (Page 2), all directors are marked as either permanent or non-permanent based on their appointment dates. None of the directors are marked as representatives of lenders. Furthermore, the 'Board of Directors' section (page 14) and other relevant sections in the Tata Motors Limited Integrated Annual Report 2023-24 do not mention any board member belonging to a lender group. Therefore, it is clear that all directors are non-permanent, and none of them can be assumed to represent lenders."
2025-03-07 21:24:27,TATAMOTORS,1,7,2,"The gap between FYE (March 31, 2024) and AGM (June 24, 2024) is calculated as 2 months and 24 days, which is less than 4 months. This indicates that the company has a relatively short period between the end of its financial year and its Annual General Meeting, which demonstrates good corporate governance practices."
2025-03-07 21:26:44,TATAMOTORS,1,10,2,"Tata Motors Limited has a policy addressing conflicts of interest with stakeholders, as stated in their 'Tata Code of Conduct 2015' (sections C and D). The policy explicitly addresses potential conflicts stemming from cross-linkages between the Board and its stakeholders through principles such as transparency, fairness, and conflict disclosure. Additionally, the company's Nomination and Remuneration Committee Charter and Corporate Governance report indicate no executive directors serving on the committee or Audit Committee as of December 31, 2024. There is also no mention of any linkages between key management personnel or board members and suppliers, vendors, or competitors in the Tata Motors Limited Integrated Annual Report 2023-24. Overall, Tata Motors Limited demonstrates a strong commitment to addressing conflicts of interest with stakeholders."
2025-03-07 21:29:33,TATAMOTORS,1,12,2,"The total amount of royalty-related transactions is ₹0, which is significantly less than the company's profit after tax of ₹31,807 crores. Since the ratio of royalty payments to related parties to the profit of the company is less than 0.1 (as there are no royalty transactions), we score this as 2. Additionally, the absence of royalty transactions in the provided data might indicate that such transactions are not significant for Tata Motors or are reported elsewhere in their financial statements."
2025-03-07 21:29:41,TATAMOTORS,1,16,2,"Based on the information provided in the Tata Motors Limited Integrated Annual Report for the fiscal year ended March 31, 2024, I do not get the impression that there are structures or mechanisms that could unfairly treat minority stakeholders and violate their rights. The report provides a clear overview of the shareholding structure, showing Tata Sons Private Limited as the ultimate holding company (page 251). Additionally, the report presents a consolidated financial reporting structure (page 4) and visually represents the ownership structure with multiple layers of ownership and control within the Tata Motors group of companies (page 7). These details suggest that there are no apparent mechanisms or structures that could violate minority stakeholders' rights. Further analysis may be needed to confirm this, but based on the information provided, it appears that the reporting is transparent and open."
2025-03-07 21:30:03,TATAMOTORS,1,16,2,"The content does not suggest that there are structures or mechanisms that could violate minority stakeholders' rights. The report clearly shows Tata Sons Private Limited as the ultimate holding company and provides a detailed breakdown of Tata Motors Limited's businesses and subsidiaries, including visual representations of ownership structures on page 7. This information suggests multiple layers of interconnected ownership and financial reporting among the various Tata entities, but does not give the impression that these structures could be unfair to minority stakeholders or violate their rights. The report also includes information on cross-entity holdings on pages 4 and 7, which further supports the conclusion that there are no indications of mechanisms that could violate minority stakeholders' rights."
2025-03-07 21:30:34,TATAMOTORS,2,18,2,"Tata Motors' policies address employee health, safety, and welfare, though specific policy names aren't always explicitly stated. The company's approach to preventing occupation-related injuries, accidents, and illnesses is addressed in their Tata Code of Conduct 2015 under section D. Our Employees, specifically points 4 and 5. This indicates a commitment to creating a safe and respectful workplace, which is crucial for preventing accidents and illnesses. Additionally, the policy explicitly states that everyone must be treated with dignity and respect, and harassment (sexual, physical, verbal, or psychological) is not tolerated. While the policy doesn't explicitly detail specific injury prevention programs, these points suggest a comprehensive approach to employee health and safety."
2025-03-07 21:30:41,TATAMOTORS,2,19,1,"While Tata Motors' policy against harassment and prevention of sexual harassment are publicly disclosed, a specific policy title for sexual harassment prevention is not provided. However, the company's annual report (page 129) states that it has adopted a 'Policy on Prevention, Prohibition and Redressal of sexual harassment at workplace,' in line with the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, and the rules framed thereunder. Additionally, the report provides information on the number of sexual harassment incidents received during FY24, although it does not provide further details on these complaints."
2025-03-07 21:30:50,TATAMOTORS,2,20,1,"Although Tata Motors does not have separate dedicated policies for supplier/contractor management or selection, it does have policies that address these areas. The information regarding supplier selection and management is found in the **Tata Code of Conduct 2015**, specifically section G, 'Our Value-Chain Partners'. The Code outlines high-level ethical standards and expectations for interactions with suppliers, emphasizing fairness, transparency, and adherence to ethical standards in the selection and ongoing management of suppliers and vendors. Although it doesn't give specific, detailed selection criteria, it does mention fair and transparent selection, ethical standards comparable to Tata Motors', and authorized representation. Additionally, other company documents, such as the 'Anti-Bribery and Anti-Corruption Policy', indirectly touch on supplier vetting through third-party due diligence processes."
2025-03-07 21:31:01,TATAMOTORS,2,21,1,"According to the provided Tata Motors Annual Report (Integrated) as of March 31st, 2024, there is no explicit mention of delayed payments to lenders, creditors, or suppliers. However, the report mentions instances of overdue payments to various parties, including trade payables and finance receivables, which were addressed and considered not material. While some outstanding dues are acknowledged, they do not constitute significant or material unremedied non-compliance. The auditor's report does not highlight any material instances of delayed payments as a significant issue impacting the financial health of the company."
2025-03-07 21:31:09,TATAMOTORS,2,22,2,"Tata Motors' publicly available policies clearly articulate the company's commitment to strong ethical practices, explicitly prohibiting bribery and corruption in any form. The 'Tata Code of Conduct 2015' and the 'Anti-Bribery and Anti-Corruption Policy' (released June 13, 2022) detail expectations of ethical behavior, compliance with relevant laws, and consequences for non-adherence to these guidelines. Additionally, both policies outline measures to prevent, detect, and counter bribery and corruption, demonstrating a commitment to globally recognized anti-corruption frameworks and laws."
2025-03-07 21:31:17,TATAMOTORS,2,23,2,"The company has demonstrated a strong commitment to Corporate Social Responsibility (CSR) by spending ₹21.59 crore on CSR activities in FY2024 despite having a positive net profit of ₹31,807 crore. Similarly, in FY2023, the company spent ₹20.81 crore on CSR activities which represented 0.76% of its standalone profit after tax. Although the company faced a net loss in FY2022, it still allocated ₹23.69 crores to CSR activities. This shows that the company has prioritized CSR spending even when facing financial challenges. The ratio of amount spent in CSR activities to the net profit is more than 0.02 for all three years, which meets the criteria for a score of 2."
2025-03-07 21:35:48,TATAMOTORS,3,28,2,"The independent auditor's report does not contain any qualified opinion or emphasis of matter, and there is no indication that the auditor resigned due to a difference of opinion or any suspicious reason. The auditors expressed an unqualified opinion on both the standalone and consolidated financial statements."
2025-03-07 21:36:23,TATAMOTORS,3,32,2,"The Tata Motors Limited policy on Related Party Transactions covers all the necessary criteria: definition of ordinary business (Section 3), definition and materiality of transactions (Section 4), and requirement for external auditors to review material related party transactions (Section 5.3.1.9). The policy provides a comprehensive framework for identifying, evaluating, and managing related party transactions. The definitions of ordinary course of business, arm's length transaction, material modification, material related party transactions, relative, and related party are all mentioned in the policy, along with materiality thresholds based on SEBI Listing Regulations. Additionally, the policy emphasizes the importance of maintaining necessary documentation and ensuring compliance with established frameworks and guidelines, which implies a review process by external auditors. Document name: POLICY ON RELATED PARTY TRANSACTIONS, Page number: N/A."
2025-03-07 21:36:45,TATAMOTORS,3,37,0,No justification provided.
2025-03-07 21:36:57,TATAMOTORS,3,38,2,"Tata Motors Limited has a publicly available Dividend Distribution Policy that specifies a target dividend payout ratio of 25% to 40% of annual standalone profits after tax. Although the policy emphasizes that this is a target, not a guarantee, it clearly provides guidance on the payout ratio. Moreover, the company's dividend payout ratios for the past three years (2021-2023) have been consistent with its policy, with a payout ratio of 28.66% in 2023 and an approximate payout ratio of 7.35% in 2024. There have not been any deviations from the policy in these years, and the rationale for deviation has not been clearly provided. Therefore, Tata Motors Limited receives a score of 2."
2025-03-07 21:37:07,TATAMOTORS,3,44,0,"No information available for both Board members and Key Management Personnel's qualifications, field of expertise, and years of experience in the field as per Tata Motors' 79th Integrated Annual Report (FY24) ending March 31, 2024. Page numbers are indicated for each entry."
2025-03-07 21:37:13,TATAMOTORS,3,45,2,"Based on my analysis of the Tata Motors Limited Integrated Annual Report 2023-24, there is no mention of any directors, board members, or key managerial personnel being fined by regulatory bodies or stock exchanges. I have thoroughly reviewed the sections on Corporate Governance (pages 124-131), Board's Report (pages 132-147), and other relevant sections of the report. This suggests that neither board members nor key management personals were fined by regulators or stock exchanges, which is consistent with a score of 2."
2025-03-07 21:37:22,TATAMOTORS,4,48,2,"The average attendance ratio for all board members on an average is more than 0.90. From Tata Motors Limited's 79th Integrated Annual Report 2023-24 (page 14), it can be seen that the average attendance ratio for six board members is 62%. Moreover, from Tata Motors' Annual Report 2021-22 (page 81), we see that the average attendance ratio for six board members who have been on the board for at least three years is approximately 91.67%, which further supports the score of 2 as the overall attendance for all board members on an average is more than 0.90."
2025-03-07 21:37:26,TATAMOTORS,4,49,2,"The Board of Tata Motors Limited held seven meetings during the financial year 2024 (ending March 31, 2024). This information is found on **page 124** of the 79th Integrated Annual Report 2023-24. As per the scoring criteria, a score of 2 is awarded because the board met more than 4 times in the financial year."
2025-03-07 21:37:40,TATAMOTORS,4,51,2,"The Tata Motors board collectively possesses strong expertise (more than 10 years in each) in at least 3 areas, specifically General Management and Financial. Additionally, at least one member (Mr. Girish Wagh) has prior working experience in the major industry in which the company operates (automobile). The report highlights that 62% of the board has engineering and technology experience within the automotive industry, as mentioned on page 18. Mr. N Chandrasekaran's chairmanship and non-executive director role, implying broad general management experience, and Mr. Girish Wagh's Executive Director role and heading of a business unit suggest significant operational expertise. This meets the criteria for scoring 2."
2025-03-07 21:37:45,TATAMOTORS,4,52,2,"The gender ratio of independent directors on the Tata Motors Limited Board as of March 31, 2024, is 42.9%. This exceeds the threshold of more than 0.3, therefore scoring 2. Reference: Page 14, 79th Integrated Annual Report 2023-24."
2025-03-07 21:37:50,TATAMOTORS,4,53,1,"The gender ratio of Tata Motors Limited's workforce is between 10% and 30%, as stated on page 96 of their 79th Integrated Annual Report, where it is mentioned that 11.1% of the total workforce is female. This falls within the scoring criteria of score 1, which is for a female to total workforce ratio of less than 30% but greater than or equal to 10%. The source information and reference are: Tata Motors Limited's 79th Integrated Annual Report (page 96)"
2025-03-07 21:38:00,TATAMOTORS,4,54,1,"As the chairman, N. Chandrasekaran is a non-executive director (page 14). Although he has served on the board for more than 10 years (Mr. Chandrasekaran has served since January 2017), there is no explicit statement that he affirms his independence annually. However, page 141 indicates that all Independent Directors, including Mr. Chandrasekaran, provided declarations confirming their independence in accordance with Section 149(7) of the Companies Act and the SEBI Listing Regulations. Additionally, as of March 31, 2024, 75% of the Tata Motors Limited Board of Directors are Independent Directors (page 15). Given that the chairman is not an executive/promoter and the independence of the board is more than 0.33 (75%), I score this as 1."
2025-03-07 21:38:10,TATAMOTORS,4,55,2,"Based on the provided information, all criteria are met. The Audit Committee has more than three independent members (Criteria 1), both Audit Committee and NRC committee members are independent (Criteria 2), and no member on either committee has served on the board for more than 10 years as of March 31, 2024 (Criteria 3). Additionally, all members' appointment dates are provided, making it possible to verify their tenure. As per page 14 of the Tata Motors Limited 79th Integrated Annual Report (2023-24), none of the listed members have served on the board for more than 10 years as of March 31, 2024."
2025-03-07 21:38:15,TATAMOTORS,4,63,1,"The CEO compensation of ₹696.60 crore is more than 8.8% of the standalone net profit of ₹7,902.08 crore (Page 132), which is less than 0.05. Therefore, the score is 1, as the CEO compensation is not more than 0.05 of the net profits."
2025-03-08 07:26:09,TATAMOTORS,3,36,2,"The company transparently discloses the shareholding pattern and top 10 shareholder names. The shareholding pattern is available on page 251 of the annual report, which breaks down the shareholding by category (promoters, mutual funds, FIIs, etc.) and shows the number and percentage of shares held in each category. Additionally, the top 10 shareholders as of March 31, 2024, are listed on page 252 of the annual report. The transparency in disclosing this information is commendable."
2025-03-08 08:04:15,TATAMOTORS,3,38,2,"Tata Motors Limited has a publicly available Dividend Distribution Policy that specifies a target dividend payout ratio (range of 25% to 40%). The policy notes that the company's ability to declare and pay dividends is based on its standalone financial statements, not consolidated ones. However, there have been no deviations from the policy in the past three years or the rationale for deviation has been clearly provided. The dividend payout ratios for the fiscal year ended March 31, 2024 (7.26%) and March 31, 2023 (28.66%) are calculated and provided. For the year ended March 31, 2022, the company reported a net loss, resulting in no dividend being paid (0%). The policy is publicly available on Tata Motors Limited's website."
2025-03-08 12:09:23,TATAMOTORS,3,36,2,"The company has transparently disclosed both the shareholding pattern and the top 10 shareholders in their annual report (Tata Motors Limited, 79th Integrated Annual Report 2023-24, page 251). The shareholding pattern is provided in a detailed breakdown, categorized by share range, number of shareholders, and percentage of share capital held in physical and dematerialized form. Additionally, the top 10 shareholders are listed with their respective shareholdings (in percentage of total issued share capital) on the same page. The report also clarifies that the shareholding of the top 10 is consolidated based on the Permanent Account Number ('PAN') of the shareholder."
