Unnamed: 0,run_time_stamp,company,category,que_no,score,justification
11.0,2025-03-07 21:45:37,JUBLFOOD,3,28,2,"The independent auditor's report (both consolidated and standalone) expresses an unqualified opinion on the financial statements, without any matter of emphasis or qualification. The report highlights two key audit matters: impairment of investment in subsidiary and claims and litigations. However, no qualified opinion or emphasis of matter was raised related to these key audit matters. Management has addressed these concerns indirectly through their discussions in the Management Discussion and Analysis section."
12.0,2025-03-07 21:45:45,JUBLFOOD,3,32,0,"No information available. Although it's generally known that companies typically have policies in place to govern transactions with related parties, specific details on Jubilant FoodWorks' policy, including definitions of ordinary business and materiality thresholds, are not available. Additionally, there is no explicitly named policy for external auditor review of material related party transactions mentioned in the provided Memorandum and Articles of Association."
13.0,2025-03-07 21:45:54,JUBLFOOD,3,36,1,"Although the shareholding pattern is transparently disclosed, the annual report does not explicitly list the top 10 shareholder names. However, it provides a breakdown of the shareholding percentage by category (e.g., Promoter Holding, Mutual Funds, Banks, etc.). This information can be found on page 106 of the Jubilant FoodWorks Limited Integrated Annual Report 2023-24. Source: Jubilant FoodWorks Limited Integrated Annual Report 2023-24, page 106."
14.0,2025-03-07 21:46:00,JUBLFOOD,3,37,0,"Shareholding information is not consistently provided across all Board members, and it is not available at all for Key Management Personnel. Although the report provides information on shareholdings for individual Board members, such as Shyam S. Bhartia holding 0 shares (Page 68), this information is not consistently disclosed for all members of the Board. Moreover, the report does not provide any shareholding information for Key Management Personnel at all, leaving no transparency in their ownership stakes. Therefore, a score of 0 is awarded as per the scoring criteria."
15.0,2025-03-07 21:46:10,JUBLFOOD,3,38,2,"The company has a dividend distribution policy and publicly available information about its dividend payout ratio. The policy does not specify a target payout ratio but provides guidance on future dividend payouts. Additionally, there have been no deviations from the policy in the past three years or the rationale for any deviation has been clearly provided. Specifically, the annual report states that the Board recommends a dividend of ₹1.20 (60% of face value) per equity share for FY2024, subject to shareholder approval. Although there was a deviation from the payout ratio in FY2023 (22.43%), it is explicitly stated in the consolidated financial statements and does not contradict the policy. Overall, the company's dividend distribution policy meets the criteria for a score of 2."
16.0,2025-03-07 21:46:27,JUBLFOOD,3,44,2,"The information provided shows that both board members and key management personnel have their qualifications, field of expertise, and number of years of experience mentioned. For instance, Mr. Shyam S. Bhartia (Chairman & Director) has a Bachelors' degree in Commerce from St. Xavier's College, Calcutta University, over four decades of experience in pharmaceuticals, contract R&D, proprietary novel drugs, life science ingredients, agri products, performance polymers, food service (QSR), food, auto, consulting in aerospace and oilfield services. Similarly, Mr. Sameer Khetarpal (CEO & Managing Director) has an MBA from ISB Hyderabad and MS (Chemical Engineering) from Lamar University, Texas, with 25+ years of experience in e-commerce, CPG, and management consulting. For key management personnel, Ms. Deepti Gupta (Executive Vice President, Human Resource & Administration) has a PGDM in HR from MDI Gurgaon, with 18+ years of experience in human resources across various sectors. The same pattern is observed for other board members and key management personnel. References: Jubilant FoodWorks Limited's Annual Report for the year ended March 31, 2024 (Pages 44-47)."
17.0,2025-03-07 21:46:31,JUBLFOOD,3,45,2,"Based on my review of Jubilant Foodworks Limited's Integrated Annual Report (2023-24), there is no mention of any directors, board members, or key management personnel being fined by regulatory bodies or stock exchanges as of March 31st, 2024. I have thoroughly examined the relevant sections, including the Corporate Governance Report and the Directors' Responsibility Statement. There was no such information provided."
18.0,2025-03-07 21:48:40,JUBLFOOD,4,48,1,"The overall attendance ratio for all board members on an average is between 0.75 and 0.90 (86.57% as of March 31, 2024). Although some individual attendance ratios are 100%, others like Berjis Minoo Desai's 43% and Aashti Bhartia's 83.33% bring down the overall average."
19.0,2025-03-07 21:48:43,JUBLFOOD,4,49,2,"The board met more than 4 times in the financial year, as stated in The Jubilant FoodWorks Limited Annual Report (31st March 2024) on page 84, which specifies that the Board of Directors held seven meetings during the fiscal year. This meets the criteria for a score of 2."
20.0,2025-03-07 21:48:53,JUBLFOOD,4,51,2,"The Jubilant FoodWorks Limited Board collectively possesses strong expertise (more than 10 years) in at least 3 areas: General Management, Legal, and Marketing. Additionally, at least one member has prior working experience in the major industry in which the company operates (food service), as mentioned on page 11 of the annual report."
21.0,2025-03-07 21:48:59,JUBLFOOD,4,52,2,"The gender ratio of independent board members for Jubilant FoodWorks Limited is more than 0.3 (40%). As per the document 'Jubilant FoodWorks Limited Integrated Annual Report 2023-24', page 44, there are 2 female independent directors out of a total of 5 independent directors, which corresponds to a gender ratio of 2/5 = 0.4 or 40%. This meets the criteria for a score of 2."
22.0,2025-03-07 21:49:08,JUBLFOOD,4,53,2,"According to the Jubilant FoodWorks Limited Integrated Annual Report for the year ended 31st March 2024, on page 31 under the 'People and Communities' section, it is stated that 34% of the total workforce were women. With a total number of employees at the end of the year being 34,120, this translates to 11,608 female employees (34% of 34,120). As per the scoring criteria, since the female-to-total workforce ratio is more than or equal to 30%, I am awarding a score of 2. The report does not provide information on the exact number of male employees, but given the total number of employees and the percentage of women, it can be inferred that there are at least 22,512 male employees (34,120 - 11,608). Reference: Jubilant FoodWorks Limited Integrated Annual Report for the year ended 31st March 2024, page 31."
23.0,2025-03-07 21:49:16,JUBLFOOD,4,54,1,"As per Jubilant FoodWorks Limited's Integrated Annual Report 2023-24, the company has a non-executive chairman who is not also a promoter (page 44). Additionally, as of March 31, 2024, 55% of the Jubilant FoodWorks Limited Board of Directors are Independent Directors (page 37), which meets the criteria for a score of 1. Since there is no information provided about the board's annual independence affirmation policy or vintage members on the board, I could not further assess the company's board independence."
24.0,2025-03-07 21:49:24,JUBLFOOD,4,55,1,"The committee formation meets most criteria. However, there is a violation of Criteria 3 as Shyam S. Bhartia and Hari S. Bhartia have served on the Board for more than 10 years. Despite this, the Audit Committee has 5 independent members, which satisfies Criteria 2. The Audit Committee also has more than or equal to 3 members, meeting Criteria 1. Since only one criteria is violated (Criteria 3), the score is 1."
25.0,2025-03-07 21:49:32,JUBLFOOD,4,63,0,"The CEO compensation for Sameer Khetarpal for the fiscal year ended March 31, 2024, is ₹66.23 million, which is more than 0.05 of net profits (₹4,007.52 million) as calculated by the ratio R2 = CEO Compensation / Net Profit = ₹66.23 million / ₹4,007.52 million = 0.0165. According to the calculation, R2 is approximately 1.65%, which is less than 0.05. Therefore, it is not acceptable that Total compensation of CEO is more than 0.05 of net profits (as per page 47 and 67 of Jubilant FoodWorks Limited's Integrated Annual Report 2023-24)."
,2025-05-18 18:53:57,PAYTM,1,4,0,"Error in scoring: Invalid json output: Based on the provided One 97 Communications Ltd Corporate Governance report, I scored the content as follows:

{
""properties"": {
    ""score"": {""description"": ""Score based on the criteria (integer)"", ""title"": ""Score"", ""type"": ""integer""},
    ""justification"": {""description"": ""Detailed justification for the score"", ""title"": ""Justification"", ""type"": ""string""}
},
""required"": [""score"", ""justification""]
}

{
""score"": 2,
""Justification"": ""All directors are marked as non-permanent board members. According to the report, Gopalasamudram Srinivasaraghavan Sundararajan's appointment date is within the last five years and therefore considered 'Not permanent'. Similarly, Rajeev Krishnamuralilal Agarwal, Ashit Ranjit Lilani, Ravi Chandra Adusumalli, Madhur Deora, and Vijay Shekhar Sharma are also marked as 'Not permanent' due to their appointment dates falling within the last five years. Pallavi Shardul Shroff is the only director marked as 'Permanent', but there is no information indicating that any board member belongs to a lender group. The report does not link any of the directors to lenders, so it cannot be assumed that any of the permanent or non-permanent board members are representatives of lenders. Therefore, I score this content 2, as all directors are marked as non-permanent board members.""
}

Note: The justification is based on the information provided in the report and does not assume any additional details not present in the content.
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/OUTPUT_PARSING_FAILURE "
,2025-05-18 19:45:55,PAYTM,1,7,1,"The gap between March 31st and September 12th is 5 months and 12 days. Rounding down to the nearest month, the gap is **5 months**. The gap between the AGM and FYE is **between 4 to 6 months**, which meets the criteria."
,2025-05-18 20:50:03,PAYTM,1,10,2,"Extracted from partial parsing. Original output: {
    ""score"": 2,
    ""justification"": ""The content meets the criteria for a score of 2. The company has a policy addressing conflicts of interest, titled 'Conflicts of Interest Policy, Version 2.0', which outlines the minimum expectations regarding business practices to avoid conflicts of interest and mandates disclosures of any potential or existing conflicts of interest to a manager and HRBP.

The policy explicitly addresses several scenarios of potential conflict, including outside employment, financial investments, relationships with family, friends, and romantic partners, supplier and customer relationships, and gifts and entertainment. The broad scope of this section suggests that it would encompass potential conflicts of interest arising from board cross-linkages.

Additionally, the company has no incidents of stakeholder conflict of interest reported. While there is no explicit mention of preventing executive directors from being on the Nomination and Remuneration Committee, the committee does not include any non-independent director as of December 31st, 2024.

The Audit Committee does not have any executive directors or non-independent directors, and the company does disclose related party transactions, including those with entities where board members have other directorships. Finally, there is no direct mention of any linkages between key management personnel or board members and key suppliers or vendors, but the report emphasizes compliance with regulations requiring transparency regarding such relationships.""..."
,2025-05-18 15:38:14,PAYTM,1,12,0,Could not determine justification
,2025-05-18 15:38:39,PAYTM,1,16,2,"The content does not indicate any structures or mechanisms that could violate minority stakeholders' rights. Specifically, there is no mention of pyramidal holding structures (page 96), and the report explicitly states that disclosures related to promoter shareholding are not applicable due to the company being professionally managed without an identifiable promoter. The report also provides detailed information on holdings and ownership percentages, although tracing ultimate beneficiary may require careful analysis. Additionally, cross-entity holdings are disclosed, but determining complicated relationships would require further examination beyond simple assessment. Overall, there is no evidence that structures or mechanisms could violate minority stakeholders' rights."
,2025-04-06 22:27:00,PAYTM,2,18,2,"Paytm has publicly disclosed its health and safety policies, such as the Policy on Prevention of Sexual Harassment of Women at Workplace (POSH) and the Equal Employment Opportunity Policy for Persons with Disabilities. These policies address the safety and welfare of employees by outlining procedures for preventing and addressing sexual harassment and promoting equal opportunities for persons with disabilities. Additionally, the company's Employee Learning & Development Policy (Version 1.0) focuses on proactive risk mitigation through training and awareness programs, which indirectly contributes to a safer work environment. Although there isn't a single policy explicitly stating that training is mandatory, it can be inferred from the policies that training is provided. Furthermore, Paytm has reported no accidents involving employees during the year in their Annual Report (FY24)."
,2025-04-06 22:27:08,PAYTM,2,19,1,"The company has publicly disclosed its policy on prevention of sexual harassment, titled 'Policy on Prevention of Sexual Harassment of Women at Workplace (POSH)' and has also provided information on the procedures for preventing such incidents, receiving complaints, conducting inquiries, and providing remedies. Although it does not mention specific incidents of sexual harassment, it mentions a formal redressal mechanism in accordance with the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, and related rules. Reference: Policies extracted from the company website."
,2025-04-06 22:27:16,PAYTM,2,20,1,"While Paytm has explicit policies concerning Information Security, which includes some aspects of supplier selection and management, primarily focusing on security, a dedicated and comprehensive policy specifically detailing the full criteria for supplier/vendor selection and a full management framework is not present in these extracts. However, it is mentioned that there exists a separate 'Supplier Relationship Management Policy' which provides more comprehensive details on vendor management. This shows that policies are available either for supplier/contractor management or selection, but not both."
,2025-04-06 22:27:25,PAYTM,2,21,0,"According to the provided annual reports (as of March 31, 2024) and (as of March 31, 2022), there are instances where undisputed statutory dues were due but not deposited on time due to ongoing disputes. Additionally, the report notes overdue amounts and explains the circumstances surrounding them. This indicates that the company has delayed payments to some lenders, creditors, and suppliers."
,2025-04-06 22:27:39,PAYTM,2,22,2,"Paytm's website provides several policies that demonstrate a comprehensive commitment to ethical conduct, anti-corruption, and anti-bribery measures. The **Anti-Bribery and Corruption Policy** explicitly prohibits bribery and corruption in any form, detailing consequences of violations and outlining reporting procedures. Measures related to anti-corruption and anti-bribery include prohibition on bribery and facilitation payments, internal controls to prevent and detect violations, compliance with anti-bribery and anti-money laundering laws, and reporting mechanisms for concerns. The company's policies also emphasize transparency, integrity, and respect, with disciplinary action for failure to adhere to the code. This suggests that Paytm has a strong commitment to ethical practices and is clearly anti-corruption and anti-bribery."
,2025-03-07 21:08:28,PAYTM,2,23,1,"Although the company reported a loss in FY24 and FY23, it voluntarily spent ₹29.31 million on CSR activities in FY24 (Paytm Annual Report FY24, page 42 and 45) and ₹26.09 million on CSR activities in FY23 (The Paytm Annual Report for the fiscal year ended March 31, 2023, pages 50-51). In FY22, the company spent ₹14 million on CSR activities despite reporting a loss. Although the percentage of profit spent on CSR is not applicable due to losses, the company has consistently spent on CSR activities. The ratio of amount spent in CSR activities to the net profit is between 0 and 0.02 (exclusive)."
,2025-03-07 20:03:50,PAYTM,3,28,2,"The auditor's report expresses an unmodified opinion on both standalone and consolidated financial statements, indicating no major concerns or qualified opinions. The auditors raised two key audit matters in the standalone report and one emphasis of matter in the consolidated report. There is no mention of auditor resignation due to a difference of opinion or any suspicious reason."
,2025-03-07 20:04:03,PAYTM,3,32,2,"The One 97 Communications Limited **Policy on Related Party Transactions (Version 4.0)** defines 'ordinary course of business' as including but not limited to activities that are necessary, normal, and incidental to the business of the Company. The policy also clarifies materiality by defining 'Material Related Party Transaction' as a transaction exceeding INR 1,000 Crore or ten percent of the annual consolidated turnover of the Company as per the last audited financial statements of the Company, whichever is lower. Additionally, it defines 'Material Modification' as any commercial change resulting in either reduction in revenue by 10% or more of the overall amount approved or INR 100 crores, whichever is higher, or increase in cost by 10% or more of the overall amount approved or INR 100 crores, whichever is higher. However, there is no mention of a requirement for external auditors to review material related party transactions."
,2025-03-07 20:04:13,PAYTM,3,36,2,"The company has transparently disclosed both the shareholding pattern and the top 10 shareholders as of March 31, 2024, extracted from the provided annual report. The shareholding pattern is presented on page 90, breaking down the shareholding into categories such as promoter and promoter group, public shareholding, and non-institutional investor. Additionally, the top 10 shareholders holding more than 1% of the shares are listed on page 88, along with their exact percentage shareholding. The report also clarifies that Mr. Vijay Shekhar Sharma is the sole Significant Beneficial Owner (SBO) of the Company as of August 14, 2023. Multiple folios associated with a single PAN have been consolidated."
,2025-03-07 20:04:22,PAYTM,3,37,0,"Based on the provided corporate governance report, the shareholding information for board members and key management personnel is not explicitly listed in a tabular format providing both the number of shares and percentage of total shares. The report (page 10, 12 and 13) does provide shareholding information categorized by shareholder type (Promoter & Promoter Group, Public, etc.), but it does not break down holdings to individual board members or key management personnel. Therefore, I cannot fulfill your request to list all board members and key management personnel and their shareholding information as it is not present in the provided document."
,2025-04-09 12:10:12,PAYTM,3,38,0,"No information available. Although One 97 Communications Limited has a Dividend Distribution Policy that outlines parameters for determining dividends, it does not specify a dividend payout ratio. The policy instead provides guidance on financial and external factors to consider before recommending a dividend. Additionally, the provided Paytm Annual Report (FY24) does not mention any dividend distribution policy or provide information about dividend payouts for the fiscal years ending March 31, 2022, 2023, or 2024."
,2025-03-07 20:04:37,PAYTM,3,44,0,"The report does not provide qualifications, field of expertise, and years of experience for both board members and key management personnel. Although there are some biographical details provided, they do not meet the criteria specified."
,2025-03-07 20:04:44,PAYTM,3,45,2,"Based on my review of the Paytm Annual Report for the year ended March 31, 2024, there is no mention of any directors, board members, or key management personnel being fined by regulatory bodies or stock exchanges. I have thoroughly examined the relevant sections of the report, including the ""Board's Report"" (pages 22-69), ""Corporate Governance Report"" (pages 60-136), and the ""Business Responsibility & Sustainability Reporting"" section (pages 103-169), and found no such information."
,2025-03-07 20:04:53,PAYTM,4,48,2,"According to the provided information, the average attendance ratio of all board members who have been on the board for at least three years (as of March 31, 2024) is approximately 91.2%. Additionally, considering those who have been on the board for at least 3 years as of March 31, 2022, the average attendance ratio is 92.5%. Since both ratios are above 0.9, which falls within the criteria of score 2, we assign a score of 2."
,2025-03-07 20:04:56,PAYTM,4,49,2,"The Board of One97 Communications Limited met nine times during the financial year 2023-24, which exceeds the minimum threshold of four meetings. The fact that the board met more than four times demonstrates a commitment to regular governance and decision-making. (Source: Annual Report, page 62)"
,2025-03-07 20:05:04,PAYTM,4,51,0,"Although some board members have experience in finance, legal, or general management, the report does not specify the number of years of experience for most board members in their respective areas of expertise. Additionally, there is no information available on the collective expertise of the board members exceeding 10 years in any area. Furthermore, while one board member has prior experience in the financial technology industry, it's unclear if they have direct experience in Paytm's specific industry, and other board members' prior work history is not detailed enough to determine their relevance to Paytm's sector."
,2025-03-07 20:05:09,PAYTM,4,52,1,"The gender ratio of independent board members for Paytm is 0.25 or 25%, which falls within the range of less than 0.3 and more than 0, hence scoring 1. This calculation is based on information from the Paytm Annual Report 2024 (page 5)."
,2025-03-07 20:05:12,PAYTM,4,53,1,"Based on the Paytm Annual Report (2024) on page 105, the female to total workforce ratio is found to be 5.70%. This falls within the range of 10% to 30% as per our scoring criteria. Reference: Paytm Annual Report (2024), page 105."
,2025-05-18 21:12:53,PAYTM,4,54,2,"The board chairman is executive/promoter, Mr. Vijay Shekhar Sharma, who holds the position of Chairman, Managing Director, and Chief Executive Officer. The independence of the board is less than 50% (57.14%), which meets the criteria for a score of 1. Additionally, there are vintage members on the board, including Mr. Vijay Shekhar Sharma and Mr. Ravi Chandra Adusumalli, who have not explicitly affirmed their independence annually. Although they do affirm compliance with the Code of Conduct for Independent Directors annually (page 27), it is unclear if they regularly reaffirm their independence beyond this annual confirmation. Therefore, a score of 2 is justified."
,2025-03-07 20:05:34,PAYTM,4,55,2,"Audit Committee and NRC committee members are independent. The Audit Committee has three or more independent directors. Additionally, no member on either Audit Committee or NRC committee is on the board for more than 10 years (except Mr. Ravi Chandra Adusumalli who has been on the board for more than 10 years). Since none of the criteria are violated, the score is 2."
,2025-03-07 20:05:41,PAYTM,4,63,1,"The CEO's total compensation for FY2023-24 was INR 44.51 crore, which is less than 0.05 of the net loss (INR 14,224 crore) incurred by the company. According to the ratio calculation R2 = -0.00313, the CEO's compensation is only 0.313% of the total net losses incurred. This indicates that the CEO compensation is reasonable and not excessive compared to the company's financial performance. (Source: Paytm Annual Report 2024, Page 104 & Page 22)"
0.0,3/6/25 18:20,TATAMOTORS,1,4,2,"Based on the provided Tata Motors Corporate Governance report (Page 2), all directors are marked as non-permanent board members, with none of them being considered permanent based on their initial appointment dates. The 5-year threshold is used to assess longevity of their appointments, and all directors have appointed within the last 5 years or less. Additionally, a review of the Tata Motors Limited Integrated Annual Report 2023-24 (as of March 31, 2024) found no mention of any board member belonging to a lender group in the 'Board of Directors' section (page 14) and other relevant sections, further supporting the conclusion that all directors are non-permanent."
1.0,3/6/25 18:20,TATAMOTORS,1,7,1,"The gap between FYE (March 31, 2024) and AGM (June 24, 2024) is calculated to be 85 days, which falls within the range of 120-180 days. Therefore, I score this content a 1. The justification for this score is that the gap is not too long (>180 days), but also not too short (<120 days), indicating a reasonable period between financial year end and annual general meeting."
2.0,3/6/25 18:20,TATAMOTORS,1,10,2,"The content suggests that Tata Motors Limited has a policy addressing conflicts of interest with stakeholders, specifically mentioning 'Principle of Balancing Interests', 'Transparency and Disclosure', and 'Specific Examples of Conflicts'. The policy explicitly emphasizes the importance of transparency and disclosure in relationships that might create conflicts of interest. Although there is no explicit mention of board cross-linkages, the principles could be applied to evaluate such situations. Additionally, the company's Corporate Governance report indicates that the Audit Committee does not include any executive directors or non-independent directors as of December 31st, 2024. Furthermore, the Tata Motors Limited Integrated Annual Report 2023-24 (79th) does not disclose any linkages between key management personnel or board members and key suppliers or vendors, competitors, or other stakeholders. Overall, the policy appears to cover all stakeholders, including suppliers and vendors."
3.0,3/6/25 18:20,TATAMOTORS,1,12,2,"The total amount of royalty transactions is ₹0, which is significantly less than Tata Motors Limited's profit after tax of ₹31,807 crores. Since the ratio of royalty payments to related parties to the company's profit is less than 0.1, we score this as 2, indicating that the royalty payments are a small proportion of the company's profit."
4.0,3/6/25 18:21,TATAMOTORS,1,16,2,"Based on the information provided in the Tata Motors Limited Integrated Annual Report for the fiscal year ended March 31, 2024, it appears that there are no structures or mechanisms that could violate minority stakeholders' rights. The report shows a clear holding structure with Tata Sons Private Limited as the ultimate holding company (page 4), and provides a detailed breakdown of the ownership structure within the Tata Motors group of companies (page 7). The visual representation on page 7 and the consolidated data mentioned on page 4 suggest multiple layers of interconnected ownership and financial reporting, but do not imply any unfair treatment of minority stakeholders or potential violation of their rights."
5.0,3/6/25 18:25,TATAMOTORS,2,18,2,"The policies are publicly disclosed and the company has provided information on the number of employee accidents. Tata Motors provides health, safety, and sexual harassment training, although the exact curriculum isn't detailed. The company's commitment to creating a safe and respectful workplace (Dignity and respect point 4 and 5) lays the foundation for a culture of safety, which is crucial for preventing occupation-related harm. Additionally, the company has publicly disclosed its health and safety policies through its Tata Code of Conduct 2015, Human Rights Policy, Whistleblower Policy, Remuneration Policy for Directors, Key Managerial Personnel and Other Employees, and Business Responsibility & Sustainability Report (BRSR). Although the exact numbers are not explicitly stated, the company provides information about workplace accidents and fatalities in its BRSR section."
6.0,3/6/25 18:25,TATAMOTORS,2,19,1,"Although Tata Motors' website does not explicitly state the name of its policy against sexual harassment, it does mention a policy against 'harassment in any form' (Page 9) and expects every employee to discourage such behavior. Additionally, the annual report provides information on the company's adoption of a policy on prevention, prohibition, and redressal of sexual harassment at workplace (page 129). Although the report does not provide further details on the complaints received during FY24, it does mention that eleven complaints were received, seven of which were closed. Therefore, while Tata Motors' website may not have publicly disclosed its specific policy title for sexual harassment prevention, it has provided some information on its approach to preventing and addressing sexual harassment."
7.0,3/6/25 18:25,TATAMOTORS,2,20,1,"Tata Motors does have policies in place addressing supplier/vendor selection, although these are not compiled into separate dedicated policies. The information is integrated into the broader 'Tata Code of Conduct 2015' and other relevant documents. The Code of Conduct outlines high-level ethical standards and expectations for interactions with suppliers. While it doesn't give specific, detailed selection criteria, it does emphasize fairness, transparency, and adherence to ethical standards in the selection and ongoing management of suppliers and vendors. Additionally, the 'Anti-Bribery and Anti-Corruption Policy' mentions third-party due diligence, which indirectly touches on supplier vetting."
8.0,3/6/25 18:25,TATAMOTORS,2,21,1,"The report mentions that there were some overdue payments to suppliers, vendors, and other parties, but these were addressed and not considered material. The company's auditor's report does not highlight any material instances of delayed payments as a significant issue impacting the financial health of the company. While some overdue balances are acknowledged, there is no indication that these constitute significant or material unremedied non-compliance."
9.0,3/6/25 18:25,TATAMOTORS,2,22,2,"Tata Motors' publicly available policies (as sourced from their website) clearly articulate a commitment to strong ethical practices, explicitly prohibit bribery and corruption, and detail the consequences of failing to adhere to the stated ethical guidelines. Both policies ('Tata Code of Conduct 2015' and 'Anti-Bribery and Anti-Corruption Policy') clearly articulate the company's commitment to anti-bribery and anti-corruption measures, with detailed expectations of ethical behavior, compliance with relevant laws, and penalties for violations. The policies also refer to compliance with various international anti-corruption frameworks and laws, demonstrating a commitment to globally recognized ethical conduct."
10.0,3/6/25 18:43,TATAMOTORS,2,23,2,"The company has spent ₹21.59 crore on CSR activities in FY24, which represents 0.07% of its consolidated profit after tax. In FY23, it spent ₹20.81 crore, representing 0.76% of standalone profit after tax. Although the company faced a net loss in FY22, it still spent ₹23.69 crores on CSR activities. The ratio of CSR spending to net profit is more than 0.02 or negative, hence we award a score of 2."
11.0,3/6/25 18:54,TATAMOTORS,3,28,2,"The auditor's report does not contain any qualified opinion or emphasis of matter, and there is no indication of the auditor resigning due to a difference of opinion or any suspicious reason. According to the report, the auditors expressed an unqualified opinion on both the standalone and consolidated financial statements (page 262). Additionally, the Management Discussion and Analysis section does not contain specific comments addressing any matters raised by the auditor because there were no qualified opinions or emphasis of matter issued."
12.0,3/6/25 18:54,TATAMOTORS,3,32,2,"The Tata Motors Limited policy on Related Party Transactions covers the definition of ordinary business (Section 3.2) and materiality of transactions (Section 4). Additionally, while it doesn't explicitly mention external auditor review, the policy implies a review process by emphasizing the importance of maintaining necessary documentation and ensuring compliance with established frameworks and guidelines (Section 5.3.1.9). The definitions of ordinary business, materiality of transaction, and requirement for external auditors to review material related party transactions are all mentioned in the policy."
