run_time_stamp,company,category,que_no,score,justification
2025-03-07 21:08:28,PAYTM,2,23,1,"Although the company reported a loss in FY24 and FY23, it voluntarily spent ₹29.31 million on CSR activities in FY24 (Paytm Annual Report FY24, page 42 and 45) and ₹26.09 million on CSR activities in FY23 (The Paytm Annual Report for the fiscal year ended March 31, 2023, pages 50-51). In FY22, the company spent ₹14 million on CSR activities despite reporting a loss. Although the percentage of profit spent on CSR is not applicable due to losses, the company has consistently spent on CSR activities. The ratio of amount spent in CSR activities to the net profit is between 0 and 0.02 (exclusive)."
2025-03-07 20:03:50,PAYTM,3,28,2,"The auditor's report expresses an unmodified opinion on both standalone and consolidated financial statements, indicating no major concerns or qualified opinions. The auditors raised two key audit matters in the standalone report and one emphasis of matter in the consolidated report. There is no mention of auditor resignation due to a difference of opinion or any suspicious reason."
2025-03-07 20:04:03,PAYTM,3,32,2,"The One 97 Communications Limited **Policy on Related Party Transactions (Version 4.0)** defines 'ordinary course of business' as including but not limited to activities that are necessary, normal, and incidental to the business of the Company. The policy also clarifies materiality by defining 'Material Related Party Transaction' as a transaction exceeding INR 1,000 Crore or ten percent of the annual consolidated turnover of the Company as per the last audited financial statements of the Company, whichever is lower. Additionally, it defines 'Material Modification' as any commercial change resulting in either reduction in revenue by 10% or more of the overall amount approved or INR 100 crores, whichever is higher, or increase in cost by 10% or more of the overall amount approved or INR 100 crores, whichever is higher. However, there is no mention of a requirement for external auditors to review material related party transactions."
2025-03-07 20:04:13,PAYTM,3,36,2,"The company has transparently disclosed both the shareholding pattern and the top 10 shareholders as of March 31, 2024, extracted from the provided annual report. The shareholding pattern is presented on page 90, breaking down the shareholding into categories such as promoter and promoter group, public shareholding, and non-institutional investor. Additionally, the top 10 shareholders holding more than 1% of the shares are listed on page 88, along with their exact percentage shareholding. The report also clarifies that Mr. Vijay Shekhar Sharma is the sole Significant Beneficial Owner (SBO) of the Company as of August 14, 2023. Multiple folios associated with a single PAN have been consolidated."
2025-03-07 20:04:22,PAYTM,3,37,0,"Based on the provided corporate governance report, the shareholding information for board members and key management personnel is not explicitly listed in a tabular format providing both the number of shares and percentage of total shares. The report (page 10, 12 and 13) does provide shareholding information categorized by shareholder type (Promoter & Promoter Group, Public, etc.), but it does not break down holdings to individual board members or key management personnel. Therefore, I cannot fulfill your request to list all board members and key management personnel and their shareholding information as it is not present in the provided document."
2025-04-09 12:10:12,PAYTM,3,38,0,"No information available. Although One 97 Communications Limited has a Dividend Distribution Policy that outlines parameters for determining dividends, it does not specify a dividend payout ratio. The policy instead provides guidance on financial and external factors to consider before recommending a dividend. Additionally, the provided Paytm Annual Report (FY24) does not mention any dividend distribution policy or provide information about dividend payouts for the fiscal years ending March 31, 2022, 2023, or 2024."
2025-03-07 20:04:37,PAYTM,3,44,0,"The report does not provide qualifications, field of expertise, and years of experience for both board members and key management personnel. Although there are some biographical details provided, they do not meet the criteria specified."
2025-03-07 20:04:44,PAYTM,3,45,2,"Based on my review of the Paytm Annual Report for the year ended March 31, 2024, there is no mention of any directors, board members, or key management personnel being fined by regulatory bodies or stock exchanges. I have thoroughly examined the relevant sections of the report, including the ""Board's Report"" (pages 22-69), ""Corporate Governance Report"" (pages 60-136), and the ""Business Responsibility & Sustainability Reporting"" section (pages 103-169), and found no such information."
2025-03-07 20:04:53,PAYTM,4,48,2,"According to the provided information, the average attendance ratio of all board members who have been on the board for at least three years (as of March 31, 2024) is approximately 91.2%. Additionally, considering those who have been on the board for at least 3 years as of March 31, 2022, the average attendance ratio is 92.5%. Since both ratios are above 0.9, which falls within the criteria of score 2, we assign a score of 2."
2025-03-07 20:04:56,PAYTM,4,49,2,"The Board of One97 Communications Limited met nine times during the financial year 2023-24, which exceeds the minimum threshold of four meetings. The fact that the board met more than four times demonstrates a commitment to regular governance and decision-making. (Source: Annual Report, page 62)"
2025-03-07 20:05:04,PAYTM,4,51,0,"Although some board members have experience in finance, legal, or general management, the report does not specify the number of years of experience for most board members in their respective areas of expertise. Additionally, there is no information available on the collective expertise of the board members exceeding 10 years in any area. Furthermore, while one board member has prior experience in the financial technology industry, it's unclear if they have direct experience in Paytm's specific industry, and other board members' prior work history is not detailed enough to determine their relevance to Paytm's sector."
2025-03-07 20:05:09,PAYTM,4,52,1,"The gender ratio of independent board members for Paytm is 0.25 or 25%, which falls within the range of less than 0.3 and more than 0, hence scoring 1. This calculation is based on information from the Paytm Annual Report 2024 (page 5)."
2025-03-07 20:05:12,PAYTM,4,53,1,"Based on the Paytm Annual Report (2024) on page 105, the female to total workforce ratio is found to be 5.70%. This falls within the range of 10% to 30% as per our scoring criteria. Reference: Paytm Annual Report (2024), page 105."
2025-05-18 21:12:53,PAYTM,4,54,2,"The board chairman is executive/promoter, Mr. Vijay Shekhar Sharma, who holds the position of Chairman, Managing Director, and Chief Executive Officer. The independence of the board is less than 50% (57.14%), which meets the criteria for a score of 1. Additionally, there are vintage members on the board, including Mr. Vijay Shekhar Sharma and Mr. Ravi Chandra Adusumalli, who have not explicitly affirmed their independence annually. Although they do affirm compliance with the Code of Conduct for Independent Directors annually (page 27), it is unclear if they regularly reaffirm their independence beyond this annual confirmation. Therefore, a score of 2 is justified."
2025-03-07 20:05:34,PAYTM,4,55,2,"Audit Committee and NRC committee members are independent. The Audit Committee has three or more independent directors. Additionally, no member on either Audit Committee or NRC committee is on the board for more than 10 years (except Mr. Ravi Chandra Adusumalli who has been on the board for more than 10 years). Since none of the criteria are violated, the score is 2."
2025-03-07 20:05:41,PAYTM,4,63,1,"The CEO's total compensation for FY2023-24 was INR 44.51 crore, which is less than 0.05 of the net loss (INR 14,224 crore) incurred by the company. According to the ratio calculation R2 = -0.00313, the CEO's compensation is only 0.313% of the total net losses incurred. This indicates that the CEO compensation is reasonable and not excessive compared to the company's financial performance. (Source: Paytm Annual Report 2024, Page 104 & Page 22)"
