,run_time_stamp,company,category,que_no,score,justification
16,2025-03-07 21:46:27,JUBLFOOD,3,44,2,"The information provided shows that both board members and key management personnel have their qualifications, field of expertise, and number of years of experience mentioned. For instance, Mr. Shyam S. Bhartia (Chairman & Director) has a Bachelors' degree in Commerce from St. Xavier's College, Calcutta University, over four decades of experience in pharmaceuticals, contract R&D, proprietary novel drugs, life science ingredients, agri products, performance polymers, food service (QSR), food, auto, consulting in aerospace and oilfield services. Similarly, Mr. Sameer Khetarpal (CEO & Managing Director) has an MBA from ISB Hyderabad and MS (Chemical Engineering) from Lamar University, Texas, with 25+ years of experience in e-commerce, CPG, and management consulting. For key management personnel, Ms. Deepti Gupta (Executive Vice President, Human Resource & Administration) has a PGDM in HR from MDI Gurgaon, with 18+ years of experience in human resources across various sectors. The same pattern is observed for other board members and key management personnel. References: Jubilant FoodWorks Limited's Annual Report for the year ended March 31, 2024 (Pages 44-47)."
17,2025-03-07 21:46:31,JUBLFOOD,3,45,2,"Based on my review of Jubilant Foodworks Limited's Integrated Annual Report (2023-24), there is no mention of any directors, board members, or key management personnel being fined by regulatory bodies or stock exchanges as of March 31st, 2024. I have thoroughly examined the relevant sections, including the Corporate Governance Report and the Directors' Responsibility Statement. There was no such information provided."
18,2025-03-07 21:48:40,JUBLFOOD,4,48,1,"The overall attendance ratio for all board members on an average is between 0.75 and 0.90 (86.57% as of March 31, 2024). Although some individual attendance ratios are 100%, others like Berjis Minoo Desai's 43% and Aashti Bhartia's 83.33% bring down the overall average."
19,2025-03-07 21:48:43,JUBLFOOD,4,49,2,"The board met more than 4 times in the financial year, as stated in The Jubilant FoodWorks Limited Annual Report (31st March 2024) on page 84, which specifies that the Board of Directors held seven meetings during the fiscal year. This meets the criteria for a score of 2."
20,2025-03-07 21:48:53,JUBLFOOD,4,51,2,"The Jubilant FoodWorks Limited Board collectively possesses strong expertise (more than 10 years) in at least 3 areas: General Management, Legal, and Marketing. Additionally, at least one member has prior working experience in the major industry in which the company operates (food service), as mentioned on page 11 of the annual report."
21,2025-03-07 21:48:59,JUBLFOOD,4,52,2,"The gender ratio of independent board members for Jubilant FoodWorks Limited is more than 0.3 (40%). As per the document 'Jubilant FoodWorks Limited Integrated Annual Report 2023-24', page 44, there are 2 female independent directors out of a total of 5 independent directors, which corresponds to a gender ratio of 2/5 = 0.4 or 40%. This meets the criteria for a score of 2."
22,2025-03-07 21:49:08,JUBLFOOD,4,53,2,"According to the Jubilant FoodWorks Limited Integrated Annual Report for the year ended 31st March 2024, on page 31 under the 'People and Communities' section, it is stated that 34% of the total workforce were women. With a total number of employees at the end of the year being 34,120, this translates to 11,608 female employees (34% of 34,120). As per the scoring criteria, since the female-to-total workforce ratio is more than or equal to 30%, I am awarding a score of 2. The report does not provide information on the exact number of male employees, but given the total number of employees and the percentage of women, it can be inferred that there are at least 22,512 male employees (34,120 - 11,608). Reference: Jubilant FoodWorks Limited Integrated Annual Report for the year ended 31st March 2024, page 31."
23,2025-03-07 21:49:16,JUBLFOOD,4,54,1,"As per Jubilant FoodWorks Limited's Integrated Annual Report 2023-24, the company has a non-executive chairman who is not also a promoter (page 44). Additionally, as of March 31, 2024, 55% of the Jubilant FoodWorks Limited Board of Directors are Independent Directors (page 37), which meets the criteria for a score of 1. Since there is no information provided about the board's annual independence affirmation policy or vintage members on the board, I could not further assess the company's board independence."
24,2025-03-07 21:49:24,JUBLFOOD,4,55,1,"The committee formation meets most criteria. However, there is a violation of Criteria 3 as Shyam S. Bhartia and Hari S. Bhartia have served on the Board for more than 10 years. Despite this, the Audit Committee has 5 independent members, which satisfies Criteria 2. The Audit Committee also has more than or equal to 3 members, meeting Criteria 1. Since only one criteria is violated (Criteria 3), the score is 1."
25,2025-03-07 21:49:32,JUBLFOOD,4,63,0,"The CEO compensation for Sameer Khetarpal for the fiscal year ended March 31, 2024, is ₹66.23 million, which is more than 0.05 of net profits (₹4,007.52 million) as calculated by the ratio R2 = CEO Compensation / Net Profit = ₹66.23 million / ₹4,007.52 million = 0.0165. According to the calculation, R2 is approximately 1.65%, which is less than 0.05. Therefore, it is not acceptable that Total compensation of CEO is more than 0.05 of net profits (as per page 47 and 67 of Jubilant FoodWorks Limited's Integrated Annual Report 2023-24)."
